GE	layer
4.3	Mes
6.75	Mes
5.12	Mes
2.85	Mes
8.92	Mes
2.45	Mes
5.91	Mes
3.92	Mes
-5.32	Mes
2.74	Mes
8.68	Mes
6.09	Mes
3.2	Mes
5.84	Mes
6.26	Mes
6.28	Mes
2.36	Mes
4.65	Mes
5.57	Mes
6.22	Mes
7.71	Mes
7.59	Mes
5.49	Mes
5.99	Mes
4.96	Mes
6.76	Mes
7.16	Mes
6.43	Mes
6.09	Mes
5.78	Mes
8	Mes
8.36	Mes
6.04	Mes
4.93	Mes
6.93	Mes
10.23	Mes
4.8	Mes
3.99	Mes
7	Mes
6.45	Mes
6.05	Mes
10.12	Mes
6.36	Mes
7.56	Mes
4.82	Mes
6.84	Mes
8.51	Mes
6.93	Mes
11.58	Mes
4.75	Mes
5.13	Mes
8.14	Mes
4.07	Mes
6.24	Mes
5.91	Mes
7.01	Mes
6.68	Mes
7.08	Mes
7.62	Mes
6.24	Mes
8.92	Mes
4.54	Mes
5.36	Mes
8.34	Mes
9.37	Mes
5.08	Mes
8.03	Mes
9.93	Mes
6.75	Mes
7.38	Mes
8.08	Mes
6.2	Mes
2.12	Mes
7.57	Mes
5.34	Mes
5.35	Mes
3.58	Mes
7.38	Mes
8.95	Mes
3.46	Mes
4.62	Mes
4.84	Mes
6.12	Mes
5.58	Mes
5.94	Mes
8.64	Mes
3.01	Mes
8.53	Mes
3.13	Mes
4.72	Mes
8.47	Mes
7.83	Mes
9.94	Mes
9.01	Mes
5.65	Mes
3.62	Mes
6.63	Mes
5.27	Mes
4.59	Mes
9.01	Mes
5.9	Mes
8	Mes
7.72	Mes
4.97	Mes
4	Mes
4.58	Mes
8.2	Mes
7.68	Mes
7.16	Mes
4.77	Mes
4.59	Mes
8.52	Mes
7.69	Mes
7.46	Mes
6.83	Mes
3.51	Mes
7.14	Mes
5.64	Mes
6.16	Mes
6.15	Mes
6.27	Mes
7.46	Mes
3.25	Mes
4.94	Mes
5.79	Mes
3.53	Mes
3.23	Mes
4.73	Mes
7.31	Mes
2.76	Mes
5.12	Mes
5.1	Mes
9.29	Mes
2.1	Mes
6.52	Mes
3.4	Mes
2.9	Mes
8.12	Mes
3.06	Mes
4.23	Mes
5.2	Mes
4.55	Mes
5.66	Mes
1.97	Mes
7.23	Mes
9.75	Mes
5.68	Mes
4.16	Mes
5.23	Mes
4.62	Mes
5.93	Mes
8.86	Mes
11.15	Mes
7.91	Mes
8.39	Mes
5.71	Mes
4.78	Mes
6.36	Mes
4.71	Mes
6.52	Mes
5.95	Mes
8.44	Mes
3.96	Mes
5.22	Mes
6.77	Mes
7.09	Mes
7.71	Mes
4.08	Mes
5.17	Mes
